source,target,value
George Roy Hill,Eileen Brennan,609
Giuseppe Tornatore,Jim Sturgess,610
Guillermo del Toro,Ivana Baquero,611
Gus Van Sant,James Franco,612
Gus Van Sant,Robin Williams,613
Hideaki Anno,Mark Chinnery,614
Hideaki Anno,Mark Chinnery,615
Howard Hughes,Jean Harlow,616
Ingmar Bergman,Liv Ullmann,617
Isabel Coixet,Sarah Polley,618
J.A. Bayona,Naomi Watts,619
Jacques Perrin,Pedro Armendáriz Jr.,620
Jaime Zevallos,Angela Sarafyan,621
James Cameron,Leonardo DiCaprio,622
James Cameron,Michael Biehn,623
James Foley,Kevin Spacey,624
James Ivory,Anthony Hopkins,625
James Ivory,Rupert Graves,626
James L. Brooks,Lupe Ontiveros,627
James Mangold,Christian Bale,628
James Mangold,Sandra Ellis Lafferty,629
James Marsh,Eddie Redmayne,630
James McTeigue,Natalie Portman,631
James Schamus,Logan Lerman,632
Jane Campion,Holly Hunter,633
Jason Reitman,J.K. Simmons,634
Jean-Jacques Annaud,Bob Hoskins,635
Jean-Luc Godard,Jean-Paul Belmondo,636
Jean-Marc Vallée,Matthew McConaughey,637
Jean-Pierre Jeunet,Denis Lavant,638
Jehane Noujaim,Khalid Abdalla,639
Je-kyu Kang,Min-sik Choi,640
Jerome Robbins,Rita Moreno,641
Jessie Nelson,Dianne Wiest,642
Joe Wright,Benedict Cumberbatch,643
Joe Wright,Talulah Riley,644
John Cameron Mitchell,John Cameron Mitchell,645
John Carney,Glen Hansard,646
John Cromwell,David Niven,647
John Ford,Lee Marvin,648
John Ford,Roddy McDowall,649
John G. Avildsen,Sylvester Stallone,650
John Lee Hancock,Catherine Dyer,651
John Sayles,Matthew McConaughey,652
John Schlesinger,Brenda Vaccaro,653
John Singleton,John Cothran,654
John Sturges,James Coburn,655
Jon Favreau,Scarlett Johansson,656
Jon Favreau,Scarlett Johansson,657
Jonathan Dayton,Steve Carell,658
Jonathan Demme,Anthony Hopkins,659
Jonathan Demme,Denzel Washington,660
Jonathan Frakes,LeVar Burton,661
Jonathan Levine,Joseph Gordon-Levitt,662
Jorge Ramírez Suárez,Hector Kotsifakis,663
José Padilha,Wagner Moura,664
Josh Boone,Shailene Woodley,665
Juan José Campanella,Ricardo Darín,666
Julian Schnabel,Emmanuelle Seigner,667
Karan Johar,Shah Rukh Khan,668
Kathryn Bigelow,Jeremy Renner,669
Kay Pollak,Michael Nyqvist,670
Ken Annakin,Richard Burton,671
Kenneth Branagh,Julie Christie,672
Kenneth Branagh,Brian Blessed,673
Kenneth Branagh,Julie Christie,674
Kenneth Lonergan,Matthew Broderick,675
Kevin Costner,Mary McDonnell,676
Kevin Macdonald,David Oyelowo,677
Kevin Macdonald,Nicholas Aaron,678
Kevin Reynolds,Henry Cavill,679
Kimberly Peirce,Alicia Goranson,680
King Vidor,John Gilbert,681
Lance McDaniel,Russell Wong,682
Lars von Trier,Catherine Deneuve,683
Lasse Hallström,Cary-Hiroyuki Tagawa,684
Lasse Hallström,Johnny Depp,685
Lenny Abrahamson,Joan Allen,686
Lukas Moodysson,Oksana Akinshina,687
M. Night Shyamalan,Bruce Willis,688
Majid Majidi,Bahare Seddiqi,689
Marc Forster,Will Ferrell,690
Marc Forster,Johnny Depp,691
Marc Forster,Mustafa Haidari,692
Marc Webb,Joseph Gordon-Levitt,693
Mark Herman,Richard Johnson,694
Mark Osborne,Jeff Bridges,695
Martin McDonagh,Elizabeth Berrington,696
Martin Ritt,Patricia Neal,697
Martin Scorsese,Leonardo DiCaprio,698
Martin Scorsese,Leonardo DiCaprio,699
Martin Scorsese,Robert De Niro,700
Martin Scorsese,Robert De Niro,701
Martin Scorsese,Robert De Niro,702
Martin Scorsese,Irvin Kershner,703
Martin Scorsese,Robert De Niro,704
Mary Harron,Christian Bale,705
Matt Reeves,Gary Oldman,706
Mel Gibson,Mhairi Calvey,707
Mel Gibson,Rudy Youngblood,708
Michael Cimino,Robert De Niro,709
Michael Curtiz,Humphrey Bogart,710
Michael Haneke,Ulrich Tukur,711
Michael Haneke,Isabelle Huppert,712
Michael Mann,Al Pacino,713
Michael Mann,Tom Cruise,714
Michael Mann,Wes Studi,715
Michael McGowan,Campbell Scott,716
Michael Moore,Michael Moore,717
Michael Moore,Michael Moore,718
Michael Roemer,Yaphet Kotto,719
Michel Gondry,Kate Winslet,720
