source,target,value
Morten Tyldum,Allen Leech,393
Morten Tyldum,Julie R. Ulgaard,394
Neil Burger,Jake Wood,395
Neil Burger,Jake Wood,396
Neill Blomkamp,Jason Cope,397
Niels Arden Oplev,Lena Endre,398
Oliver Stone,Cheryl Penland,399
Orson Welles,Ted de Corsia,400
Paul Greengrass,Albert Finney,401
Paul Greengrass,Oksana Akinshina,402
Paul Greengrass,Michael Chernus,403
Paul Greengrass,Susan Blommaert,404
Paul Haggis,Jennifer Esposito,405
Paul Haggis,Jennifer Esposito,406
Paul McGuigan,Dorian Missick,407
Paul McGuigan,Dorian Missick,408
Paul Verhoeven,Christian Berkel,409
Peter Berg,Dan Bilzerian,410
Pierre Morel,Xander Berkeley,411
Quentin Tarantino,Zoë Bell,412
Quentin Tarantino,Michael Bowen,413
Quentin Tarantino,Chris Penn,414
Raja Menon,Purab Kohli,415
Richard Kelly,James Duval,416
Ridley Scott,M. Emmet Walsh,417
Rob Reiner,Kevin Pollak,418
Robert Rodriguez,Zoe Bell,419
Rupert Wyatt,Tyler Labine,420
Sam Mendes,Rory Kinnear,421
Sam Mendes,Liam Aiken,422
Sam Mendes,Rory Kinnear,423
Sam Raimi,Kassie Wesley DePaiva,424
Shane Meadows,George Newton,425
Spike Lee,Peter Gerety,426
Steven Soderbergh,Elliott Gould,427
Steven Soderbergh,James Lew,428
Steven Spielberg,Jessica Capshaw,429
Steven Spielberg,Mathieu Amalric,430
Steven Spielberg,Bob Peck,431
Steven Spielberg,Amy Ryan,432
Steven Spielberg,Murray Hamilton,433
Tony Scott,Giancarlo Giannini,434
Tony Scott,Michael Rapaport,435
Troy Duffy,Bob Marley,436
William Friedkin,Amidou,437
William Friedkin,Tony Lo Bianco,438
William Friedkin,Tony Lo Bianco,439
Wolfgang Petersen,Herbert Granemeyer,440
Woody Allen,Penelope Wilton,441
